File,Vertex,Component,ShortestDistance,OptimalPath,CriticalPathLength,CriticalPath
graph_large_1.json,29,0,17,5->20->21->22->29,39,0->7->8->9->10->13->14->15->16->17->24->25->26->27->28->29
graph_large_2.json,0,5,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,1,4,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,2,4,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,3,4,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,4,16,6,5->6->7->4,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,5,16,0,5,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,6,16,2,5->6,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,7,16,5,5->6->7,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,8,3,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,9,3,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,10,3,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,11,3,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,12,15,2,5->12,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,13,14,5,5->12->13,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,14,13,7,5->12->13->14,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,15,12,11,5->12->13->14->15,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,16,11,14,5->12->13->14->15->16,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,17,10,16,5->12->13->14->15->16->17,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,18,9,17,5->12->13->14->15->16->17->18,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,19,8,20,5->12->13->14->15->16->17->18->19,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,20,7,22,5->12->13->14->15->16->17->18->19->20,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,21,6,26,5->12->13->14->15->16->17->18->19->20->21,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,22,2,28,5->12->13->14->15->16->17->18->19->20->21->22,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,23,1,31,5->12->13->14->15->16->17->18->19->20->21->22->23,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_2.json,24,0,32,5->12->13->14->15->16->17->18->19->20->21->22->23->24,32,4->12->13->14->15->16->17->18->19->20->21->22->23->24
graph_large_3.json,0,39,0,0,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,1,38,1,0->1,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,2,37,3,0->1->2,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,3,36,4,0->1->2->3,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,4,35,6,0->1->2->3->4,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,5,34,9,0->1->2->3->4->5,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,6,33,10,0->1->2->3->4->5->6,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,7,32,12,0->1->2->3->4->5->6->7,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,8,31,13,0->1->2->3->4->5->6->7->8,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,9,30,16,0->1->2->3->4->5->6->7->8->9,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,10,29,18,0->1->2->3->4->5->6->7->8->9->10,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,11,27,22,0->1->2->3->4->5->6->7->8->9->10->11,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,12,26,25,0->1->2->3->4->5->6->7->8->9->10->11->12,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,13,19,27,0->1->2->3->4->5->6->7->8->9->10->11->12->13,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,14,18,32,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,15,12,34,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,16,11,37,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,17,9,39,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,18,8,43,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,19,2,46,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->19,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,20,1,48,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->19->20,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,21,28,19,0->1->2->3->4->5->6->7->8->9->10->21,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,22,25,27,0->1->2->3->4->5->6->7->8->9->10->11->12->22,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,23,17,35,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->23,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,24,10,38,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->24,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,25,7,45,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,26,0,51,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->19->20->26,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,27,24,29,0->1->2->3->4->5->6->7->8->9->10->11->12->22->27,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,28,16,36,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->23->28,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,29,6,48,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,30,23,31,0->1->2->3->4->5->6->7->8->9->10->11->12->22->27->30,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,31,15,40,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->23->28->31,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,32,5,49,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,33,22,34,0->1->2->3->4->5->6->7->8->9->10->11->12->22->27->30->33,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,34,14,42,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->23->28->31->34,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,35,4,52,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,36,21,35,0->1->2->3->4->5->6->7->8->9->10->11->12->22->27->30->33->36,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,37,13,44,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->23->28->31->34->37,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,38,3,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_large_3.json,39,20,38,0->1->2->3->4->5->6->7->8->9->10->11->12->22->27->30->33->36->39,56,0->1->2->3->4->5->6->7->8->9->10->11->12->13->14->15->16->17->18->25->29->32->35->38
graph_medium_1.json,0,8,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,1,8,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,2,8,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,3,7,0,3,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,4,6,2,3->4,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,5,5,6,3->4->5,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,6,5,8,3->4->5->6,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,7,5,11,3->4->5->6->7,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,8,4,13,3->4->5->6->7->8,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,9,3,16,3->4->5->6->7->8->9,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,10,2,18,3->4->5->6->7->8->9->10,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,11,2,21,3->4->5->6->7->8->9->10->11,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,12,2,25,3->4->5->6->7->8->9->10->11->12,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,13,1,27,3->4->5->6->7->8->9->10->11->12->13,23,0->3->4->5->8->9->10->13->14
graph_medium_1.json,14,0,30,3->4->5->6->7->8->9->10->11->12->13->14,23,0->3->4->5->8->9->10->13->14
graph_medium_2.json,0,7,0,0,21,0->3->4->5->8->9->10->11
graph_medium_2.json,1,7,2,0->1,21,0->3->4->5->8->9->10->11
graph_medium_2.json,2,7,5,0->1->2,21,0->3->4->5->8->9->10->11
graph_medium_2.json,3,6,9,0->1->2->3,21,0->3->4->5->8->9->10->11
graph_medium_2.json,4,5,11,0->1->2->3->4,21,0->3->4->5->8->9->10->11
graph_medium_2.json,5,4,14,0->1->2->3->4->5,21,0->3->4->5->8->9->10->11
graph_medium_2.json,6,4,16,0->1->2->3->4->5->6,21,0->3->4->5->8->9->10->11
graph_medium_2.json,7,4,17,0->1->2->3->4->5->6->7,21,0->3->4->5->8->9->10->11
graph_medium_2.json,8,3,20,0->1->2->3->4->5->6->7->8,21,0->3->4->5->8->9->10->11
graph_medium_2.json,9,2,22,0->1->2->3->4->5->6->7->8->9,21,0->3->4->5->8->9->10->11
graph_medium_2.json,10,1,26,0->1->2->3->4->5->6->7->8->9->10,21,0->3->4->5->8->9->10->11
graph_medium_2.json,11,0,29,0->1->2->3->4->5->6->7->8->9->10->11,21,0->3->4->5->8->9->10->11
graph_medium_3.json,0,15,0,0,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,1,13,2,0->1,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,2,14,1,0->2,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,3,12,4,0->2->3,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,4,5,6,0->2->3->4,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,5,11,9,0->2->3->5,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,6,4,7,0->2->3->4->6,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,7,10,12,0->2->3->5->7,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,8,3,9,0->2->3->4->6->8,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,9,9,16,0->2->3->5->7->9,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,10,2,11,0->2->3->4->6->8->10,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,11,8,17,0->2->3->5->7->9->11,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,12,1,16,0->2->3->4->6->8->10->12,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,13,7,20,0->2->3->5->7->9->11->13,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,14,0,18,0->2->3->4->6->8->10->12->14,26,0->1->3->5->7->9->11->13->15
graph_medium_3.json,15,6,24,0->2->3->5->7->9->11->13->15,26,0->1->3->5->7->9->11->13->15
graph_small_1.json,0,4,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,12,0->3->4->5->6
graph_small_1.json,1,4,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,12,0->3->4->5->6
graph_small_1.json,2,4,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,12,0->3->4->5->6
graph_small_1.json,3,3,0,3,12,0->3->4->5->6
graph_small_1.json,4,2,2,3->4,12,0->3->4->5->6
graph_small_1.json,5,1,7,3->4->5,12,0->3->4->5->6
graph_small_1.json,6,0,8,3->4->5->6,12,0->3->4->5->6
graph_small_2.json,0,7,0,0,15,0->2->3->4->5->6->7
graph_small_2.json,1,5,2,0->1,15,0->2->3->4->5->6->7
graph_small_2.json,2,6,4,0->2,15,0->2->3->4->5->6->7
graph_small_2.json,3,4,5,0->1->3,15,0->2->3->4->5->6->7
graph_small_2.json,4,3,7,0->1->3->4,15,0->2->3->4->5->6->7
graph_small_2.json,5,2,12,0->1->3->4->5,15,0->2->3->4->5->6->7
graph_small_2.json,6,1,14,0->1->3->4->5->6,15,0->2->3->4->5->6->7
graph_small_2.json,7,0,15,0->1->3->4->5->6->7,15,0->2->3->4->5->6->7
graph_small_3.json,0,5,1,2->0,15,0->3->4->6->7->8
graph_small_3.json,1,5,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,15,0->3->4->6->7->8
graph_small_3.json,2,5,0,2,15,0->3->4->6->7->8
graph_small_3.json,3,4,4,2->3,15,0->3->4->6->7->8
graph_small_3.json,4,3,6,2->3->4,15,0->3->4->6->7->8
graph_small_3.json,5,3,7,2->3->4->5,15,0->3->4->6->7->8
graph_small_3.json,6,2,10,2->3->4->5->6,15,0->3->4->6->7->8
graph_small_3.json,7,1,14,2->3->4->5->6->7,15,0->3->4->6->7->8
graph_small_3.json,8,0,16,2->3->4->5->6->7->8,15,0->3->4->6->7->8
